id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
629,I,1.025,0.75,0.25,8.32057825,3.912231,1.63009625,2.551455,7.0
630,I,1.15,0.875,0.3125,11.9351395,4.025629,2.93417325,4.1106775,14.0
631,M,1.45,1.15,0.3625,26.54930675,12.1619355,5.57067675,8.0796075,11.0
632,F,1.4125,1.1,0.4125,25.92561775,12.40290625,5.45727875,6.9456275,7.0
633,M,1.55,1.2625,0.4125,37.096681,17.10892325,7.98038425,9.07184,9.0
634,I,1.5625,1.225,0.375,27.895908,13.891255,5.6982495,7.484268,11.0
635,M,1.35,1.1125,0.3875,31.18445,11.793392,6.520385,8.0796075,12.0
636,F,1.4625,1.2125,0.4,34.79901125,15.081934,8.34892775,9.39785925,12.0
637,I,1.3375,1.025,0.3125,19.17843675,8.561549,4.479221,5.6699,8.0
638,I,0.525,0.375,0.1375,1.45999925,0.4819415,0.26932025,0.43941725,4.0
639,M,1.625,1.3625,0.475,47.3153155,21.24795025,9.015141,12.48795475,12.0
640,I,0.45,0.3125,0.1375,0.5953395,0.35436875,0.18427175,0.1984465,5.0
641,M,1.4625,1.1875,0.425,28.7180435,10.77281,6.13766675,8.20718025,11.0
642,F,1.4875,1.1625,0.375,31.19862475,11.94931425,5.953395,10.3475675,13.0
643,I,1.0875,0.825,0.275,12.360382,4.03980375,2.28213475,3.5436875,10.0
644,M,1.325,1.05,0.35,20.3265915,9.85145125,4.195726,5.25883225,8.0
645,M,1.6,1.25,0.3875,39.745999,19.20678625,8.334753,9.4970825,9.0
646,F,1.675,1.35,0.425,41.4753185,22.29688175,8.85921875,11.90679,10.0
647,M,1.325,1.0625,0.325,22.2543575,9.922325,5.23048275,6.9456275,8.0
648,M,1.3,0.95,0.3,18.597272,9.525432,4.06815325,4.819415,8.0
649,I,1.1,0.8875,0.3,12.984071,5.6699,2.8632995,3.8271825,9.0
650,I,1.0,0.7625,0.25,9.19941275,4.60679375,2.0128145,2.83495,6.0
651,F,1.5875,1.3125,0.4625,38.55532,18.83824275,8.4765005,9.07184,9.0
652,M,1.525,1.1875,0.3625,29.1149365,13.79203175,6.633783,7.484268,8.0
653,I,1.125,0.825,0.25,10.33339275,4.32329875,2.33883375,2.9766975,7.0
654,M,1.375,1.0625,0.3875,23.00561925,10.4609655,6.05261825,6.9456275,9.0
655,M,1.5,1.2125,0.3625,27.68328675,12.82814875,5.556502,7.12989925,10.0
656,F,1.15,0.925,0.3,15.12445825,6.6621325,3.6003865,3.8271825,8.0
657,M,1.3375,1.025,0.35,21.64484325,9.6671795,4.55009475,6.3786375,10.0
658,I,0.825,0.65,0.1875,5.783298,2.664853,1.43164975,1.984465,7.0
659,M,1.5125,1.2,0.4375,39.22153325,16.34348675,8.77417025,9.3269855,11.0
660,M,1.4375,1.1,0.4,31.014353,10.9712565,7.15824875,9.4970825,12.0
661,M,1.675,1.3625,0.45,41.00755175,18.83824275,8.15048125,11.1980525,10.0
662,I,1.1,0.8625,0.2625,11.793392,5.10291,2.0695135,3.8271825,8.0
663,F,1.0875,0.8625,0.275,10.77281,3.798833,2.82077525,3.798833,14.0
664,F,1.5125,1.175,0.425,33.29648775,14.18892475,7.7961125,8.9300925,12.0
665,M,1.55,1.2125,0.4125,31.808139,11.60912025,6.27941425,10.3475675,17.0
666,F,1.6,1.25,0.45,33.339012,13.6928085,6.6054335,11.056305,10.0
667,M,1.5,1.1625,0.4,31.62386725,10.16329575,7.10154975,9.63883,12.0
668,M,1.3375,1.075,0.35,18.86659225,7.72523875,3.5436875,5.386405,12.0
669,F,1.5,1.1625,0.3875,27.20134525,12.62970225,5.71242425,7.654365,9.0
670,I,0.675,0.5125,0.1625,3.64291075,1.1056305,0.793786,0.9922325,5.0
671,F,1.5375,1.175,0.3875,27.08794725,13.67863375,5.5281525,7.087375,9.0
672,M,1.475,1.2625,0.4125,30.6458095,10.81533425,7.15824875,10.77281,12.0
673,M,1.3,1.0,0.325,16.68368075,6.02426875,4.57844425,4.9611625,9.0
674,F,1.2,0.9625,0.2875,13.53688625,5.6699,2.96252275,4.819415,8.0
675,M,1.675,1.35,0.45,43.30386125,20.638436,11.15552825,13.60776,11.0
676,M,1.3875,1.1,0.3625,23.54425975,12.34620725,4.89028875,7.7961125,9.0
677,I,1.2125,0.9625,0.325,16.9813505,8.06543275,3.27436725,4.9611625,8.0
678,I,0.75,0.55,0.225,4.12485225,1.65844575,0.97805775,1.2757275,5.0
679,I,1.3375,1.05,0.3375,22.04173625,10.39009175,4.43669675,7.7961125,9.0
680,M,1.525,1.2,0.425,30.0221205,9.31281075,6.42116175,8.9867915,15.0
681,F,1.525,1.2375,0.475,37.7331845,15.01106025,8.8166945,11.056305,16.0
682,M,1.5875,1.2875,0.5625,38.85298975,17.519991,8.60407325,11.1980525,14.0
683,I,0.6,0.4375,0.2,1.99863975,0.94970825,0.38271825,0.56699,5.0
684,I,1.175,0.8875,0.2875,12.5021295,4.7343665,2.33883375,3.96893,8.0
685,M,1.475,1.15,0.4875,30.277266,10.8578585,6.30776375,10.77281,12.0
686,I,1.1875,0.8875,0.2625,13.154168,6.7755305,2.36718325,3.84135725,6.0
687,M,1.65,1.3125,0.4625,48.94541175,17.08057375,9.2702865,17.57669,18.0
688,I,1.15,0.8875,0.275,12.757275,5.4147545,2.50893075,3.8271825,8.0
689,M,1.2875,1.0125,0.3125,21.772416,8.94426725,4.89028875,5.953395,8.0
690,F,1.5125,1.25,0.3875,30.83008125,12.79979925,6.36446275,8.9300925,11.0
691,M,1.525,1.25,0.375,32.2333815,13.5227115,8.00873375,8.9300925,10.0
692,M,1.525,1.175,0.375,29.27085875,12.23280925,6.16601625,8.3631025,9.0
693,F,1.6375,1.2625,0.4375,40.86580425,14.18892475,9.68135425,14.8834875,11.0
694,I,1.1125,0.825,0.2875,10.64523725,4.706017,2.84912475,3.40194,7.0
695,I,0.95,0.725,0.2125,7.994559,3.18931875,1.587572,2.26796,6.0
696,I,1.15,0.9125,0.2875,15.37960375,9.62465525,3.345241,3.572037,7.0
697,M,1.525,1.225,0.4375,31.9498865,13.437663,7.3992195,9.07184,11.0
698,I,0.75,0.55,0.1875,3.30271675,1.474174,0.72291225,0.9922325,7.0
699,M,1.3125,0.9625,0.3625,17.78931125,8.0796075,3.5436875,4.9611625,9.0
700,F,1.45,1.125,0.425,22.75047375,10.7444605,4.60679375,7.29999625,10.0
701,M,1.2875,1.0,0.325,21.9708625,8.561549,5.2446575,7.2291225,19.0
702,F,1.6125,1.25,0.4,34.529691,15.365429,7.2858215,9.7805775,9.0
703,M,1.475,1.175,0.4,27.9242575,12.48795475,5.8683465,7.5126175,13.0
704,M,1.4875,1.1875,0.3875,30.730858,13.08329425,6.59125875,8.60407325,10.0
705,I,0.9375,0.7,0.225,8.50485,3.515338,1.63009625,2.39553275,6.0
706,F,1.15,0.875,0.3125,14.798439,5.99591925,3.7137845,4.3941725,9.0
707,I,1.3,1.025,0.3,19.17843675,9.07184,4.57844425,5.896696,7.0
708,M,1.25,0.975,0.3625,18.653971,7.66853975,4.819415,6.36446275,10.0
709,F,1.325,1.0875,0.425,24.93338525,8.00873375,5.1879585,8.221355,9.0
710,F,1.2,0.9375,0.3,15.74814725,7.087375,3.515338,4.819415,12.0
711,I,1.2625,1.0,0.3125,17.95940825,8.4765005,3.3735905,4.365823,8.0
712,F,1.1875,0.9375,0.325,16.42853525,7.83863675,3.40194,4.819415,8.0
713,F,1.4375,1.125,0.425,25.51455,9.979024,5.556502,7.2291225,10.0
714,I,0.775,0.5625,0.1875,4.3941725,1.8427175,1.03475675,1.03475675,6.0
715,F,1.45,1.0875,0.375,23.09066775,10.21999475,5.3580555,6.5487345,11.0
716,I,1.0125,0.75,0.2875,8.901743,4.66349275,1.871067,2.4664065,8.0
717,I,1.15,0.875,0.275,12.54465375,5.6699,3.35941575,3.5436875,7.0
718,M,1.425,1.1,0.35,24.76328825,11.8784405,5.159609,6.80388,13.0
719,I,1.2,0.9375,0.3125,15.77649675,6.860579,3.89805625,5.2446575,9.0
720,F,1.4125,1.125,0.3625,25.86891875,12.927372,5.40057975,7.1724235,9.0
721,I,1.2625,0.875,0.3,13.0691195,5.1312595,2.8632995,4.252425,8.0
722,M,1.55,1.2375,0.45,32.488527,13.48018725,8.674947,10.3475675,11.0
723,M,1.6,1.225,0.3875,32.4601775,14.2030995,5.1879585,8.788345,10.0
724,F,1.675,1.275,0.4375,35.6920205,15.4504775,8.4765005,10.0640725,11.0
725,F,1.4375,1.0625,0.375,24.79163775,12.813974,5.68407475,6.520385,9.0
726,F,1.55,1.275,0.3875,38.76794125,16.839603,7.314171,10.489315,10.0
727,F,1.1125,0.8375,0.3125,11.8217415,5.329706,2.4664065,3.685435,12.0
728,M,1.5625,1.3,0.4375,47.95317925,21.72989175,9.31281075,11.01378075,10.0
729,F,1.425,1.1125,0.375,24.76328825,11.9351395,6.90310325,5.953395,9.0
730,I,0.825,0.5875,0.175,4.309124,1.85689225,0.72291225,1.2757275,5.0
731,M,1.4375,1.0625,0.325,24.040376,9.355335,5.25883225,6.7188315,9.0
732,M,1.25,0.9875,0.3375,17.36406875,9.48290775,3.72795925,4.23825025,7.0
733,M,1.6125,1.275,0.3875,36.61337925,16.612807,8.3064035,10.0640725,12.0
734,F,1.525,1.2375,0.475,37.194544,15.03940975,7.540967,11.623295,13.0
735,M,1.5875,1.25,0.4125,37.32211675,14.5432935,7.41339425,11.056305,15.0
736,I,0.4375,0.3,0.0625,0.5953395,0.21262125,0.1417475,0.21262125,5.0
737,M,1.575,1.25,0.425,33.622507,11.3398,8.2497045,10.0640725,14.0
738,F,1.2125,0.8875,0.3,14.55746825,6.05261825,3.6003865,3.8271825,8.0
739,M,1.425,1.15,0.4375,26.43590875,10.77281,7.2858215,7.7961125,10.0
740,F,1.4625,1.15,0.3625,28.519597,11.3398,5.79747275,8.0796075,13.0
741,I,1.2375,0.9875,0.3125,15.5071765,6.05261825,4.06815325,4.819415,9.0
742,I,0.925,0.675,0.225,6.2085405,2.721552,1.14815475,1.984465,6.0
743,F,1.6875,1.325,0.425,43.48172575,17.519991,9.34116025,13.48018725,11.0
744,I,0.875,0.6625,0.1875,5.1312595,2.14038725,1.2757275,1.70097,6.0
745,F,1.2,0.95,0.3125,15.66309875,6.16601625,3.04757125,4.9611625,13.0
746,F,1.6,1.2875,0.4125,38.90968875,17.179797,8.29222875,10.44679075,10.0
747,F,1.5625,1.225,0.4,29.8520235,10.432616,6.4920355,9.07184,11.0
748,I,1.4125,1.0625,0.3625,23.00561925,10.2908685,5.783298,7.087375,10.0
749,F,1.5,1.1375,0.4,27.8108595,11.736693,6.4353365,8.6465975,10.0
750,I,0.925,0.7,0.2375,7.55514175,3.2601925,1.77184375,2.4097075,6.0
751,I,0.9375,0.725,0.275,6.08096775,2.721552,1.31825175,2.26796,6.0
752,I,0.9375,0.6875,0.2,6.80388,3.30271675,1.54504775,1.8427175,6.0
753,M,1.425,1.0875,0.3875,25.33027825,12.3320325,5.556502,8.15048125,10.0
754,F,1.6,1.175,0.4125,33.3106625,16.612807,6.76135575,8.788345,9.0
755,I,1.2125,0.8875,0.3,11.72251825,4.4508715,2.14038725,3.8271825,9.0
756,F,1.525,1.2375,0.4125,34.37376875,15.29455525,6.98815175,9.8372765,12.0
757,F,1.5875,1.225,0.3875,31.808139,12.587178,7.3425205,8.0796075,11.0
758,M,1.3375,1.025,0.3,19.901349,9.39785925,3.9405805,4.649318,10.0
759,I,1.1625,0.95,0.325,14.7133905,5.82582225,3.86970675,4.819415,8.0
760,I,1.125,0.875,0.3125,13.96212875,5.953395,3.04757125,4.1106775,10.0
761,I,1.45,1.1375,0.3625,22.41027975,10.98543125,4.46504625,6.6621325,11.0
762,M,1.5,1.175,0.375,34.6147395,15.1102835,8.4198015,7.7961125,10.0
763,I,0.8125,0.5625,0.1875,4.309124,2.16873675,0.86465975,1.26155275,6.0
764,M,1.3875,1.0875,0.3625,23.700182,11.01378075,4.592619,6.520385,11.0
765,F,1.45,1.1125,0.4,30.220567,11.8217415,6.1518415,8.3631025,11.0
766,F,1.6125,1.275,0.4125,33.46658475,16.0174675,6.7755305,9.07184,9.0
767,F,1.625,1.2625,0.425,35.02580725,14.69921575,7.767763,10.0640725,13.0
768,F,1.4375,1.1375,0.4125,29.21415975,12.34620725,6.1518415,9.2135875,9.0
769,I,1.0375,0.8125,0.2625,10.149121,4.9611625,2.097863,3.40194,9.0
770,I,0.925,0.6875,0.25,6.0384435,2.62232875,1.1623295,1.984465,7.0
771,F,1.375,1.0625,0.325,24.84833675,8.7032965,5.59902625,6.3786375,12.0
772,M,1.5,1.1875,0.4125,27.20134525,10.602713,5.386405,8.0796075,14.0
773,I,0.9375,0.6875,0.225,6.30776375,2.65067825,1.48834875,2.1262125,7.0
774,M,1.6,1.275,0.5625,41.4753185,18.9091165,8.88756825,11.66581925,12.0
775,M,1.175,0.9375,0.3375,15.66309875,6.02426875,3.47281375,5.953395,8.0
776,M,1.4,1.1,0.4125,25.51455,11.679994,4.819415,7.087375,14.0
777,F,1.5,1.175,0.375,27.9242575,11.75086775,6.2652395,8.50485,9.0
778,I,1.0125,0.8,0.25,10.319218,4.97533725,2.2963095,3.40194,9.0
779,I,1.1,0.8125,0.25,9.525432,4.03980375,2.33883375,2.551455,6.0
780,I,0.4875,0.375,0.125,0.56699,0.18427175,0.2551455,0.1417475,3.0
781,F,1.4875,1.1625,0.45,31.90736225,16.4710595,6.406987,6.80388,10.0
782,M,1.2875,1.05,0.3625,20.1564945,7.8528115,4.422522,5.17378375,10.0
783,M,1.45,1.1375,0.3625,23.51591025,8.561549,4.592619,7.5126175,12.0
784,I,1.325,1.0625,0.325,21.999212,8.4198015,4.57844425,5.10291,11.0
785,F,1.1375,0.9,0.35,13.90542975,5.14543425,3.175144,3.81300775,10.0
786,I,0.875,0.65,0.2,5.79747275,2.19708625,0.86465975,1.85689225,9.0
787,M,1.3125,1.0625,0.3625,23.79940525,10.58853825,4.89028875,7.2291225,13.0
788,M,1.4375,1.1875,0.4125,27.725811,10.50348975,5.726599,9.922325,16.0
789,I,1.3,1.0125,0.325,18.7957185,8.0796075,4.12485225,5.8116475,8.0
790,M,1.1875,0.95,0.3125,14.968536,7.087375,2.4097075,4.1106775,6.0
791,I,1.4,1.0625,0.3625,20.14231975,7.8528115,4.77689075,6.520385,12.0
792,F,1.7375,1.35,0.5125,49.32813,20.53921275,10.11164375,14.17475,12.0
793,M,1.5125,1.175,0.45,32.205032,14.92601175,6.84640425,8.788345,12.0
794,M,1.3625,1.05,0.4625,22.5945515,8.334753,4.8477645,10.3475675,14.0
795,M,1.5625,1.2,0.375,34.77066175,18.9091165,6.0951425,10.0640725,8.0
796,M,1.325,1.0375,0.35,22.01338675,9.6104805,4.01145425,6.520385,9.0
797,F,1.625,1.275,0.5,38.9805625,17.860185,8.88756825,10.035723,12.0
798,M,1.3,1.05,0.3375,21.829115,7.7961125,5.40057975,7.2291225,14.0
799,I,1.125,0.825,0.2625,9.19941275,3.98310475,1.7293195,2.6932025,8.0
800,I,0.975,0.6875,0.2,9.51125725,4.0539785,1.417475,2.2963095,6.0
801,M,1.575,1.275,0.4,34.3879435,15.26620575,7.98038425,9.7805775,10.0
802,F,1.8,1.4125,0.575,51.2275465,23.6151335,11.5949455,18.71067,11.0
803,I,1.2375,0.95,0.275,14.55746825,6.917278,3.3735905,4.53592,8.0
804,F,1.5375,1.2875,0.475,32.4601775,13.48018725,6.22271525,12.0485375,13.0
805,I,1.3,0.975,0.275,16.0741665,6.13766675,3.30271675,4.53592,9.0
806,M,1.4125,1.1,0.35,25.174356,11.736693,5.93922025,7.04485075,9.0
807,M,0.875,0.6625,0.2125,6.30776375,2.67902775,1.06310625,1.70097,7.0
808,I,0.975,0.725,0.25,7.087375,3.13261975,1.6726205,2.4097075,7.0
809,M,1.425,1.175,0.375,29.21415975,13.05494475,7.0023265,5.499803,10.0
810,I,1.0625,0.775,0.2375,9.93649975,4.422522,1.31825175,2.9766975,7.0
811,I,1.0375,0.775,0.225,8.66077225,3.84135725,2.08368825,2.4097075,7.0
812,M,1.525,1.2,0.4125,28.7180435,12.06271225,5.91087075,8.3631025,13.0
813,F,1.2125,0.9375,0.3125,15.09610875,6.73300625,3.01922175,4.819415,8.0
814,M,1.65,1.3,0.475,45.472598,16.85377775,10.77281,12.6155275,14.0
815,M,1.675,1.325,0.4625,38.82464025,17.93105875,7.47009325,11.66581925,10.0
816,I,1.3125,0.975,0.3,17.4349425,8.50485,3.98310475,4.9611625,7.0
817,M,1.6125,1.225,0.3625,32.2333815,14.92601175,6.406987,9.39785925,8.0
818,I,1.075,0.8125,0.25,10.0073735,4.97533725,2.041164,2.9766975,7.0
819,M,1.175,0.9125,0.3625,14.35902175,6.860579,2.551455,5.386405,11.0
820,I,0.9125,0.675,0.225,6.30776375,2.36718325,1.63009625,2.1262125,7.0
821,F,1.475,1.1125,0.3625,24.73493875,10.61688775,5.896696,7.654365,10.0
822,F,1.525,1.175,0.3875,30.220567,11.3398,7.7961125,8.788345,15.0
823,I,1.175,0.9,0.35,14.13222575,5.96756975,2.9766975,4.9611625,8.0
824,I,1.3125,1.0,0.3625,21.55979475,10.6877615,4.43669675,5.046211,8.0
825,F,1.3,1.0125,0.375,27.54153925,9.8372765,5.03203625,8.0796075,13.0
826,I,1.3375,1.0,0.325,20.3265915,9.19941275,4.86193925,5.2446575,9.0
827,I,0.9375,0.7,0.225,7.55514175,3.13261975,1.74349425,1.91359125,7.0
828,F,1.5875,1.2875,0.4125,35.5786225,16.0174675,7.07320025,9.07184,11.0
829,I,0.925,0.7125,0.225,6.73300625,3.18931875,1.1623295,1.984465,7.0
830,F,1.6375,1.2625,0.4,37.03862175,17.4349425,7.257472,9.4970825,9.0
831,M,1.4625,1.125,0.4,28.3495,13.56523575,6.010094,7.37087,10.0
832,M,1.3125,1.0,0.2875,16.40018575,6.2085405,4.2240755,5.5281525,9.0
833,I,1.3,1.0,0.35,19.5328055,7.04485075,4.97533725,5.2446575,10.0
834,F,1.1125,0.9,0.3125,13.53688625,5.10291,2.14038725,4.9611625,10.0
835,M,1.55,1.2125,0.35,34.6147395,13.22504175,7.24329725,8.37727725,14.0
836,I,1.225,0.975,0.325,17.61921425,8.29222875,3.27436725,5.5281525,8.0
837,F,1.6125,1.25,0.3875,32.98464325,14.35902175,6.2085405,9.7238785,9.0
838,F,1.125,0.8875,0.425,11.1413535,4.72019175,2.67902775,3.8271825,8.0
839,I,0.4875,0.325,0.1375,0.9922325,0.41106775,0.226796,0.283495,5.0
840,F,1.65,1.325,0.425,40.78075575,18.58309725,8.09378225,10.0640725,9.0
841,I,1.0625,0.8,0.2875,10.3475675,4.9044635,1.814368,2.9766975,8.0
842,M,1.6125,1.275,0.475,38.8104655,18.2287285,8.66077225,10.20582,11.0
843,M,1.6,1.275,0.425,38.20095125,14.84096325,7.27164675,11.056305,10.0
844,F,1.6,1.2875,0.4125,41.7588135,16.93882625,8.97261675,11.623295,11.0
845,I,1.325,1.05,0.35,21.64484325,9.8372765,4.082328,5.839997,8.0
846,I,1.3125,1.0,0.3,17.4349425,7.66853975,3.67126025,4.819415,9.0
847,M,1.575,1.2,0.425,33.40988575,13.891255,5.046211,9.8939755,11.0
848,F,1.325,1.025,0.3125,18.46969925,6.520385,4.55009475,5.2446575,8.0
849,F,1.6125,1.275,0.475,39.87357175,19.03668925,7.01650125,8.788345,9.0
850,I,0.9375,0.7,0.2125,8.7599955,3.47281375,1.8994165,2.05533875,7.0
851,F,1.6375,1.2,0.4,32.998818,14.35902175,7.3425205,8.50485,10.0
852,I,1.3125,1.0375,0.3375,18.6256215,8.2497045,4.706017,4.9611625,10.0
853,F,1.5,1.1875,0.4,29.9087225,11.35397475,6.64795775,9.2135875,12.0
854,F,1.55,1.2,0.375,30.8159065,15.592225,6.2652395,7.654365,9.0
855,I,0.7875,0.6125,0.175,4.23825025,1.71514475,0.92135875,1.2757275,7.0
856,I,1.4375,1.1875,0.4625,29.7386255,11.0846545,6.95980225,9.2135875,20.0
857,I,1.4625,1.05,0.3125,21.64484325,9.87980075,4.57844425,5.03203625,9.0
858,F,1.4375,1.1,0.375,24.73493875,10.98543125,5.85417175,7.087375,10.0
859,F,1.35,1.0625,0.325,23.530085,10.70193625,4.89028875,6.23689,10.0
860,M,1.475,1.15,0.3625,22.41027975,8.34892775,5.06038575,6.9456275,9.0
861,I,1.1875,0.8875,0.3125,13.8062065,5.68407475,2.8066005,4.3941725,8.0
862,I,1.3875,1.0625,0.3875,24.22464775,12.587178,4.55009475,7.087375,10.0
863,M,0.85,0.6125,0.2,4.422522,1.91359125,0.97805775,1.360776,7.0
864,F,0.8875,0.65,0.225,6.0023265,2.2396105,1.00640725,2.1262125,13.0
865,F,1.6,1.2625,0.4,32.44600275,14.35902175,7.7394135,8.6465975,9.0
866,I,0.4,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,4.0
867,F,1.575,1.225,0.4125,33.6508565,18.27125275,7.66853975,8.674947,9.0
868,F,1.425,1.175,0.3875,24.6357155,8.0796075,6.520385,8.0796075,12.0
869,M,0.9125,0.675,0.175,3.67126025,1.247378,0.77961125,0.850485,5.0
870,M,1.25,1.0,0.2875,19.447757,6.30776375,3.8271825,5.2446575,14.0
871,I,1.0125,0.75,0.2625,8.958442,4.40834725,1.68679525,2.551455,5.0
872,F,1.4125,1.2,0.425,26.2232875,11.75086775,5.1312595,7.7961125,13.0
873,M,1.375,1.1,0.3875,24.777463,12.34620725,5.8116475,6.80388,9.0
874,F,1.575,1.2375,0.45,34.302895,14.92601175,7.78193775,9.7805775,11.0
875,I,1.7875,1.4125,0.5,56.9541455,25.24522975,11.5382465,16.5844575,14.0
876,M,1.325,1.05,0.3375,22.07008575,10.19164525,5.42892925,5.2446575,9.0
877,F,1.275,0.9875,0.3125,16.23008875,8.43397625,3.515338,4.9611625,10.0
878,I,1.1625,0.9375,0.2875,13.48018725,5.71242425,2.96252275,4.53592,8.0
879,M,1.675,1.2875,0.3875,43.1762885,15.77649675,10.19164525,11.7650425,12.0
880,I,1.15,0.875,0.2875,13.90542975,5.45727875,2.9199985,3.685435,8.0
881,M,1.3375,1.025,0.3625,20.87940675,8.334753,5.3013565,6.3786375,11.0
882,F,1.75,1.3125,0.475,49.384829,20.34076625,9.9506745,16.8679525,15.0
883,I,1.4125,1.075,0.35,24.50814275,12.8990225,4.83358975,6.9456275,10.0
884,F,1.625,1.25,0.4125,39.2640575,15.932419,8.77417025,10.489315,12.0
885,F,1.5875,1.2625,0.4875,36.003865,18.427175,8.34892775,9.4970825,11.0
886,F,1.15,0.875,0.3375,15.49300175,5.82582225,2.96252275,6.0951425,19.0
887,M,1.6125,1.2875,0.4625,36.230661,14.69921575,9.79475225,11.623295,13.0
888,I,0.825,0.5875,0.2125,4.6209685,1.88524175,0.963883,1.2757275,8.0
889,I,0.825,0.6375,0.225,5.25883225,2.1829115,1.1623295,1.70097,6.0
890,F,1.2,0.95,0.3375,14.118051,5.54232725,3.9405805,4.3941725,10.0
891,I,1.3125,1.0125,0.3,18.1153305,8.1930055,3.7704835,5.386405,7.0
892,F,1.2875,0.975,0.3125,17.46193175,7.9095105,3.24601775,5.5281525,10.0
893,F,1.55,1.2375,0.3875,34.06192425,17.463292,6.5487345,9.5537815,11.0
894,M,1.775,1.375,0.5125,58.6551155,30.46153775,13.96212875,14.74174,9.0
895,M,1.45,1.1125,0.3875,23.6718325,11.8784405,5.6699,6.520385,9.0
896,M,1.575,1.225,0.3875,34.5013415,15.03940975,7.75358825,9.355335,11.0
897,M,1.125,0.875,0.35,13.39513875,5.00368675,2.93417325,4.252425,8.0
898,F,1.3875,1.125,0.35,23.57260925,9.85145125,6.3786375,6.80388,13.0
899,M,0.8625,0.6375,0.1875,5.42892925,1.74349425,1.0489315,1.37495075,6.0
900,F,1.575,1.2125,0.4375,43.318036,13.79203175,10.56018875,11.90679,16.0
901,M,1.2375,1.0,0.35,18.72484475,8.68912175,3.9405805,6.23689,8.0
902,I,1.15,0.875,0.35,13.04077,5.74077375,2.48058125,4.1106775,8.0
903,I,1.1625,0.9,0.2625,13.154168,6.2652395,2.45223175,3.96893,8.0
904,F,1.575,1.175,0.4,32.2900805,15.762322,6.56290925,8.3631025,8.0
905,I,0.875,0.6375,0.2125,5.5848515,2.42388225,1.2190285,1.70097,6.0
906,I,1.0125,0.7875,0.225,9.19941275,4.40834725,1.60174675,2.6932025,7.0
907,F,1.675,1.275,0.4375,39.179009,19.4761065,8.57572375,9.7805775,10.0
908,F,1.6375,1.325,0.4375,44.74968575,19.6462035,10.87203325,11.623295,11.0
909,I,1.4,1.0625,0.3375,24.59319125,12.28950825,5.0745605,7.6827145,8.0
910,M,1.4125,1.175,0.3875,25.7696955,9.48290775,5.06038575,8.221355,12.0
911,M,1.625,1.2375,0.4125,37.9032815,17.4349425,8.88756825,9.4970825,11.0
912,F,1.4375,1.1375,0.3375,28.066005,12.3320325,5.57067675,8.221355,8.0
913,I,0.7,0.525,0.1875,3.04757125,1.2757275,0.77961125,0.9922325,5.0
914,F,1.1625,0.9125,0.3375,21.87163925,9.76640275,5.08873525,5.386405,9.0
915,I,0.8,0.5875,0.2,4.082328,1.871067,0.850485,1.70097,5.0
916,F,1.4625,1.175,0.4125,25.0326085,11.736693,5.10291,7.37087,11.0
917,F,1.1875,0.875,0.375,13.154168,5.37223025,3.061746,4.32329875,13.0
918,F,1.45,1.1,0.3875,26.3933845,13.4660125,4.025629,6.3786375,9.0
919,I,0.7875,0.5875,0.1625,3.798833,1.474174,0.680388,0.9922325,6.0
920,M,1.6125,1.3125,0.475,42.9700745,20.14231975,10.44679075,11.623295,11.0
921,M,1.0625,0.7875,0.3,11.38232425,4.74854125,2.438057,3.21766825,7.0
922,M,1.15,0.8875,0.275,13.2392165,6.10931725,2.9766975,3.96893,8.0
923,M,1.6125,1.2875,0.4,38.51279575,18.5122235,8.63242275,9.355335,11.0
924,F,1.8,1.4125,0.5125,57.039194,21.262125,12.06271225,18.8524175,13.0
925,F,1.4125,1.1375,0.3875,27.499015,13.93377925,4.422522,7.484268,9.0
926,I,1.4125,1.1,0.375,22.4244545,10.6310625,4.5075705,5.20213325,9.0
927,M,1.2875,1.0,0.325,20.0430965,7.69688925,4.479221,5.896696,11.0
928,F,1.7375,1.3,0.4875,50.6605565,24.7491135,10.24834425,12.757275,12.0
929,I,1.25,0.9625,0.2875,16.40018575,6.36446275,3.75630875,3.9972795,8.0
930,M,1.3875,1.1,0.4,24.4656185,8.3064035,4.5075705,8.0796075,10.0
931,I,0.525,0.375,0.1375,1.31825175,0.5386405,0.4252425,0.4819415,7.0
932,M,1.15,0.9375,0.325,15.6205745,6.36446275,3.27436725,4.252425,9.0
933,F,1.1,0.875,0.275,12.927372,4.63514325,2.5231055,3.40194,11.0
934,I,1.1375,0.8375,0.275,11.6516445,5.74077375,2.42388225,3.40194,8.0
935,M,1.3625,1.05,0.3375,23.91280325,11.35397475,4.082328,6.520385,9.0
936,I,0.9375,0.725,0.25,7.95203475,3.18931875,1.60174675,2.4097075,6.0
937,F,1.6375,1.2625,0.4375,35.4652245,15.989118,6.4353365,11.056305,11.0
938,M,1.225,0.95,0.375,16.40018575,6.13766675,3.9405805,5.6699,9.0
939,F,1.65,1.3125,0.4375,39.2640575,20.2698925,9.015141,11.4248485,9.0
940,I,1.325,1.0625,0.3375,22.92057075,10.47514025,4.706017,6.0951425,8.0
941,M,1.5125,1.1625,0.4,34.37376875,18.5122235,7.10154975,7.93786,9.0
942,M,1.725,1.3,0.5,44.09764725,18.69649525,11.226402,13.60776,11.0
